void_id,cx_mpc,cy_mpc,cz_mpc,R_void_mpc,n_members
406,111.04010000000001,20.30066,153.208,11.366563333517394,3
411,141.4216,202.7069,84.54222999999999,14.161049999999992,1
413,190.93789999999998,122.5368,12.534450000000001,8.898209667760069,2
415,181.0697,68.45366,19.97489,11.593440884185668,3
417,147.9658,40.10548,119.0038,8.947555107827172,2
418,82.07206,35.2141,120.90060000000001,7.328070055003537,2
420,191.9687,32.11894,125.0975,14.978172201051747,4
421,51.701980000000006,33.29003,127.01939999999999,11.576953807819642,3
436,171.232,83.96359,67.96006,13.818679999999992,1
437,22.239919999999998,68.94677,70.43075,13.778708387322878,4
438,144.8063,50.330769999999994,79.97178,10.2580750748284,3
441,166.7428,150.5327,204.2535,6.41424864433234,2
444,169.2511,97.06422,161.14370000000002,7.083630173728917,2
446,22.45471,30.276889999999998,98.18817999999999,10.602099940813583,3
448,12.96912,188.6651,127.6703,7.793901534110584,2
454,43.6034,113.5659,138.2094,9.965552069001284,3
457,186.7053,173.03879999999998,37.45432,14.53656986541009,4
458,176.1651,32.76651,60.619339999999994,7.9217471555226355,3
460,84.11487,67.11283999999999,16.5085,9.24548248989818,3
463,70.11129,33.87805,19.15026,10.728727422856242,3
467,44.422410000000006,196.8468,74.23444,11.555712150336852,3
472,110.0413,55.920120000000004,197.07389999999998,8.032663038293553,3
474,2.314925,174.52720000000002,191.9195,12.890242188580682,4
475,65.41096,142.3617,26.30812,9.89136232266952,2
477,49.02691,189.0535,129.3398,13.103859999999994,1
478,45.17802,140.00220000000002,77.75752,9.348361876266816,3
482,39.961400000000005,166.5102,202.9989,14.458479852745699,3
485,6.878602,14.679709999999998,84.66055,14.287259999999993,1
486,52.125389999999996,171.3332,88.43575,13.609876176524121,3
487,27.26499,114.9043,89.5123,15.491079999999991,1
488,71.39956,101.7106,4.815004,9.006981509029696,2
490,119.6507,193.6545,96.17548,9.950245842208451,3
492,151.7505,60.42659,125.63080000000001,11.439285194902258,3
493,35.74903,123.47189999999999,126.0505,10.503962779406578,2
494,145.95829999999998,181.87460000000002,127.7411,7.293671889624068,2
495,141.9186,47.23194,179.42929999999998,14.038923998270992,5
497,40.80537,41.63583,181.6294,9.443239848642428,3
498,39.785959999999996,48.67025,103.18310000000001,11.861104815764367,2
500,16.99566,16.8855,104.5156,8.081944109167416,2
501,56.56276999999999,9.834328,137.8897,8.165736322175201,2
504,151.459,172.756,173.4761,11.549566767182599,3
510,150.41170000000002,194.4714,42.33506,8.065447349164385,2
512,198.8024,38.752449999999996,53.42486,8.962384429579458,2
514,3.582561,11.86632,188.74620000000002,8.066811698562276,2
515,30.91382,187.4921,191.0461,13.422566259555078,5
516,133.0595,150.45329999999998,25.72341,14.469820714212512,4
517,174.3018,77.15613,93.14941999999999,13.263752054934718,4
522,121.7108,177.82829999999998,133.3676,11.391835072769,4
525,96.52449,35.00096,148.573,8.206117676334518,2
527,167.4931,11.91812,169.06320000000002,14.675212574428572,3
528,176.794,28.89454,172.6561,9.205919381369998,3
530,122.5245,55.22777,85.26951,9.19273896813913,2
531,189.5379,27.77168,85.77403,12.664594972068567,3
533,145.3442,146.911,89.59563,13.780940960667607,5
534,42.43415,105.1057,6.510819000000001,12.682731306790965,2
535,182.1413,99.4953,9.740084999999999,9.240208803403867,3
539,158.7909,27.64109,134.8585,9.190291771146985,3
540,172.1594,172.1592,135.516,8.256308586148043,3
541,71.26095,56.04598,32.21523,8.134227061440992,3
545,28.3412,9.813527,40.48325,9.038382234677373,3
546,9.142868,103.1662,51.33173,15.376092913801978,5
547,11.334200000000001,69.73796,192.0051,8.050814892212527,2
548,60.23893,93.67725999999999,64.11683000000001,8.055675634878611,2
554,101.2504,33.65003,132.6516,7.775542447248099,2
556,63.96604,91.7476,79.00902,7.96973062618048,2
558,101.7998,126.2317,199.4772,9.09647575983233,3
559,179.3405,138.5304,201.649,10.721742928287163,3
566,179.1135,43.41508,22.206529999999997,13.168459999999993,1
569,149.1019,198.27439999999999,164.5062,15.414001919314774,5
574,151.9717,112.82310000000001,183.7971,8.19296361374734,3
577,139.1319,164.92929999999998,37.761050000000004,8.982812368122202,3
578,122.16189999999999,84.92397,62.83111,9.978168605871105,3
579,54.63132,32.63961,14.92932,9.186628883788451,3
580,6.18743,52.93925,16.99208,19.86780999999999,1
592,68.09924000000001,20.66752,134.2233,9.804052178932832,2
596,30.07206,136.9748,149.3155,10.0227284695471,3
598,172.9484,90.32215,201.0478,9.10714832394689,3
600,55.876,48.11329,167.85139999999998,7.929086664233453,2
601,89.60983999999999,124.8696,168.56529999999998,10.591946389066875,2
602,134.062,117.09939999999999,170.0821,13.248789999999994,1
603,81.11276,79.95006,88.66881,8.155889201567119,2
607,148.8102,149.6277,118.4093,7.840144780282681,2
610,42.88456,60.900529999999996,182.9483,10.140589611764167,3
611,33.612480000000005,166.3964,102.5517,13.193695897374967,5
614,34.25164,86.56394999999999,59.21982,8.85111490098926,2
618,22.01347,181.7571,178.55689999999998,8.010075338497016,3
623,71.55577000000001,106.67360000000001,39.42497,7.787520574143038,2
624,166.1645,164.5282,39.947199999999995,7.798804698713256,2
629,46.89729,124.57910000000001,28.5233,9.148137322814582,3
631,78.14813000000001,170.832,64.64103,10.218427247758047,3
635,129.4793,144.68570000000003,81.77011999999999,8.006806025346757,3
637,105.0582,111.48089999999999,198.9123,8.334448863743802,3
638,86.51721,29.476110000000002,171.05929999999998,7.012374042475184,2
643,143.66410000000002,83.80808999999999,119.2149,15.61011880198857,5
644,185.4752,144.7821,98.62928,8.855229028175943,2
