void_id,sample,RA,Dec,z_void,R_void_mpc,M_annulus_1e14,N_in_annulus,V_annulus_mpc3,rho_annulus,rho_mean_bin,delta
22165,CMASS North,213.522,46.849,0.585,59.203,26.540964005097283,4,48675203.883393794,5.452666221733504e-07,1.85319635923684e-06,-0.705769645264199
8258,CMASS North,127.318,14.711,0.509,46.423,28.90149770307187,8,23468008.87630302,1.2315274745040406e-06,1.85319635923684e-06,-0.33545764410459306
21141,CMASS North,167.675,63.669,0.48,77.157,388.38736685520865,122,107746367.07461408,3.6046446613485484e-06,6.64238378624601e-06,-0.4573266499878444
1256,CMASS North,142.942,-0.48,0.545,41.963,38.288160628574445,5,17333099.2320617,2.208962177851689e-06,1.85319635923684e-06,0.1919741622854018
13097,CMASS North,237.467,35.332,0.499,46.875,56.55766312681237,14,24160197.409198847,2.3409437501234318e-06,6.64238378624601e-06,-0.6475747524600001
12079,CMASS North,144.385,7.108,0.527,40.925,62.949805348448386,11,16078395.249333452,3.915179616638548e-06,1.85319635923684e-06,1.1126631277491001
7854,CMASS North,123.036,20.546,0.491,53.009,85.92051665560828,24,34940206.7663022,2.459072930801132e-06,6.64238378624601e-06,-0.629790597783135
17058,CMASS North,200.611,17.196,0.514,60.329,156.5597369986297,43,51505667.05474546,3.0396604092559773e-06,1.85319635923684e-06,0.6402257613476706
6216,CMASS North,245.277,18.12,0.503,57.234,163.8149792313196,41,43978350.258408315,3.7249005082904275e-06,1.85319635923684e-06,1.0099869556318193
9172,CMASS North,211.306,39.676,0.515,26.639,20.91381303343201,3,4434354.300368453,4.716315300221786e-06,1.85319635923684e-06,1.5449625328230192
19726,CMASS North,159.495,27.284,0.529,49.33,73.74408920237762,17,28158530.241776373,2.6188898557272673e-06,1.85319635923684e-06,0.4131745093680982
14690,CMASS North,231.145,13.853,0.498,36.955,75.94640326621682,18,11838488.487557882,6.415211143385039e-06,6.64238378624601e-06,-0.03420046931515225
16129,CMASS North,202.466,15.629,0.541,52.548,64.37628482443878,17,34036524.69983901,1.8913883068897242e-06,1.85319635923684e-06,0.02060868912380761
19414,CMASS North,197.341,30.48,0.502,48.842,89.1467543396311,22,27331090.118887592,3.2617343088713754e-06,1.85319635923684e-06,0.7600586643795165
4025,CMASS North,193.747,33.642,0.471,43.803,116.49531543033129,36,19714610.599180236,5.909085286988897e-06,6.64238378624601e-06,-0.11039688805327857
17079,CMASS North,133.577,33.512,0.539,34.426,25.591464026519326,6,9570537.506058795,2.6739839857811753e-06,1.85319635923684e-06,0.4429037551543332
17938,CMASS North,156.87,21.594,0.526,38.999,62.844393068172465,13,13913521.059093812,4.5167857080359726e-06,1.85319635923684e-06,1.4372947235316273
18003,CMASS North,182.096,23.429,0.461,46.891,217.3374096557895,64,24184945.896907724,8.986474916347783e-06,6.64238378624601e-06,0.3528990804409018
826,CMASS North,116.367,34.758,0.49,43.503,72.03954532603144,19,19312311.513154175,3.7302394007554827e-06,6.64238378624601e-06,-0.4384185676715236
11732,CMASS North,139.572,2.901,0.569,53.501,72.92706531298921,14,35922151.08282431,2.0301419351208704e-06,1.85319635923684e-06,0.09548128831685045
17935,CMASS North,145.862,19.93,0.579,62.221,20.99154081978715,5,56505093.30614331,3.7149820647238754e-07,1.85319635923684e-06,-0.7995365118106679
17563,CMASS North,203.888,28.367,0.558,62.324,53.369090460444134,9,56786171.92921226,9.398254653786534e-07,1.85319635923684e-06,-0.4928624477949652
19865,CMASS North,175.592,27.445,0.581,66.002,104.76549916479422,17,67444714.97420247,1.5533537239332528e-06,1.85319635923684e-06,-0.1617975525416339
19123,CMASS North,150.624,29.795,0.557,52.578,80.43951433386314,17,34094853.016933635,2.359286144859221e-06,1.85319635923684e-06,0.27309021146080414
11148,CMASS North,158.044,3.712,0.565,58.494,22.17671401907372,5,46947297.637810074,4.7237466552735506e-07,1.85319635923684e-06,-0.745102744686007
21904,CMASS North,198.553,45.675,0.523,51.245,93.97206838797423,19,31566841.432803128,2.976923382974954e-06,1.85319635923684e-06,0.6063723458861494
2567,CMASS North,134.088,1.446,0.535,46.205,34.000126139540235,8,23138945.33353139,1.4693896221047533e-06,1.85319635923684e-06,-0.20710527258435862
21240,CMASS North,155.984,51.273,0.632,80.728,15.574193143586925,3,123409677.0480095,1.2619912405676394e-07,1.85319635923684e-06,-0.9319019145339064
22199,CMASS North,185.003,43.557,0.484,46.603,133.94694017048153,37,23742052.46195437,5.6417590848611675e-06,6.64238378624601e-06,-0.15064240995179723
21582,CMASS North,179.074,48.823,0.454,38.761,101.32487213144464,33,13660341.45481134,7.417447980098387e-06,6.64238378624601e-06,0.11668464496996633
4604,CMASS North,214.315,-0.243,0.487,59.519,159.97451930529147,42,49458793.03760216,3.2345010761517623e-06,6.64238378624601e-06,-0.513051160511193
18616,CMASS North,238.289,41.291,0.454,33.648,30.980912568605437,11,8936231.321953792,3.4668879365839713e-06,6.64238378624601e-06,-0.4780656992806332
22748,CMASS North,231.324,57.066,0.473,56.789,160.8201713910079,54,42960497.30236386,3.74344296480383e-06,6.64238378624601e-06,-0.4364307927290869
18749,CMASS North,253.558,44.778,0.46,38.435,43.81352988007966,14,13318560.64349037,3.2896595249948522e-06,6.64238378624601e-06,-0.5047471463773961
21847,CMASS North,181.857,58.055,0.518,51.43,107.69096604960602,26,31909956.287873235,3.374839033876455e-06,1.85319635923684e-06,0.8210909044016461
12469,CMASS North,233.716,13.545,0.565,44.049,44.36764688301422,4,20048634.426293124,2.2130009425892622e-06,1.85319635923684e-06,0.1941535129610293
5227,CMASS South,329.982,26.29,0.514,58.149,46.184646115553065,14,46121496.22200389,1.0013692073918246e-06,1.85319635923684e-06,-0.459652938340438
7087,CMASS South,0.581,21.615,0.644,94.622,21.50009620159423,4,198725229.14846405,1.0819006873823702e-07,1.85319635923684e-06,-0.941619748927852
3478,CMASS South,32.189,-6.105,0.571,73.126,50.59044003420443,13,91725923.01931114,5.515391763738761e-07,1.85319635923684e-06,-0.7023849234190143
6622,CMASS South,14.735,33.167,0.504,52.5,128.01725437318237,33,33943337.825710915,3.771498696754969e-06,1.85319635923684e-06,1.0351317214480715
6977,CMASS South,1.322,12.599,0.505,58.704,223.765105636981,64,47454753.250224754,4.715335984513231e-06,1.85319635923684e-06,1.544434086010746
2119,CMASS South,31.066,3.695,0.532,57.932,140.00370389465397,34,45607073.17087513,3.069780500276894e-06,1.85319635923684e-06,0.656478810233068
3345,CMASS South,39.037,-1.761,0.58,57.933,19.581658274317196,4,45609434.96714113,4.2933349839621144e-07,1.85319635923684e-06,-0.7683281125303881
5079,CMASS South,14.705,20.643,0.494,93.826,1116.7385237348708,339,193752021.2399782,5.763751606759736e-06,6.64238378624601e-06,-0.13227663558158229
1671,CMASS South,42.675,1.861,0.515,38.12,25.972455466885997,6,12993774.100906176,1.9988384641129552e-06,1.85319635923684e-06,0.07858967785588121
7580,CMASS South,359.764,29.76,0.463,71.064,508.5481814143865,158,84183229.72293311,6.040967816133197e-06,6.64238378624601e-06,-0.0905421892902559
8549,CMASS South,26.138,-6.288,0.477,55.909,257.18367547687984,71,40994142.80333208,6.273668819243501e-06,6.64238378624601e-06,-0.05550943439401759
8776,CMASS South,0.1,-7.353,0.498,53.606,173.61518422635137,49,36134066.74142303,4.8047507486148525e-06,6.64238378624601e-06,-0.27665264410590595
5009,CMASS South,329.282,21.418,0.449,20.514,18.71449525456557,9,2025012.4136307016,9.241669398466465e-06,6.64238378624601e-06,0.39131819176161453
1851,CMASS South,30.896,2.125,0.488,53.798,245.3473629509238,70,36523721.965198874,6.717479756983685e-06,6.64238378624601e-06,0.011305575400983568
7526,CMASS South,342.261,30.71,0.524,58.206,90.39520595789674,23,46257259.67995627,1.9541841990494276e-06,1.85319635923684e-06,0.054493869097700494
6630,CMASS South,27.546,31.032,0.513,45.557,68.99884531690043,18,22179001.405230574,3.110998735075066e-06,1.85319635923684e-06,0.6787205087949764
7189,CMASS South,24.447,26.191,0.522,72.657,248.17888909422624,62,89972341.30990598,2.758390917486346e-06,1.85319635923684e-06,0.48845042984126724
2543,CMASS South,22.993,2.278,0.468,60.078,293.50988017391296,98,50865466.97781362,5.770317223312536e-06,6.64238378624601e-06,-0.1312881927628468
4325,CMASS South,341.58,15.528,0.479,41.139,86.03874932288394,28,16331941.983485533,5.268127293734221e-06,6.64238378624601e-06,-0.20689206416488315
643,CMASS South,336.658,-0.176,0.578,56.6,43.08266725727316,8,42532991.55627283,1.0129235137451615e-06,1.85319635923684e-06,-0.4534181395854399
7437,CMASS South,14.683,32.568,0.63,85.577,13.905828178258968,3,147010315.4486275,9.459083286654355e-08,1.85319635923684e-06,-0.948958008472725
9591,CMASS South,39.947,-6.188,0.519,56.498,64.73685845553673,17,42303457.02022929,1.5302971202703343e-06,1.85319635923684e-06,-0.17423908554378884
794,CMASS South,320.476,0.941,0.57,62.152,23.06670731788487,5,56317317.66430193,4.0958462289311496e-07,1.85319635923684e-06,-0.7789847682078412
6069,CMASS South,342.919,24.735,0.511,53.027,119.24476295928179,30,34975812.265732676,3.409349354156703e-06,1.85319635923684e-06,0.8397129571097895
2124,CMASS South,37.399,3.74,0.5,32.345,27.10215954870376,8,7937762.539861693,3.4143323653992787e-06,6.64238378624601e-06,-0.4859778544459996
3181,CMASS South,26.874,-2.882,0.473,54.579,226.37144848630356,68,38137599.96529161,5.935650085278581e-06,6.64238378624601e-06,-0.10639760117908578
7557,CMASS South,7.426,29.591,0.467,76.012,510.4090010738252,159,103020372.37799615,4.954447254384436e-06,6.64238378624601e-06,-0.25411608033800814
4211,CMASS South,333.512,11.836,0.459,62.852,391.71844433866,134,58241686.431598656,6.725740072769178e-06,6.64238378624601e-06,0.012549152413591197
9567,CMASS South,44.27,-7.368,0.472,30.076,8.23062297865637,3,6381707.058649057,1.2897212145614704e-06,6.64238378624601e-06,-0.8058345834770916
3243,CMASS South,29.965,-2.866,0.518,51.513,90.5174015579259,23,32064698.82995774,2.8229612271722433e-06,1.85319635923684e-06,0.5232931001088085
